,gene1,gene2,label,meta_path,rank_percent
42,G:HGNC:7462,G:HGNC:7717,1,"['GDpDG', 'GDpDpDG']",0.985
43,G:HGNC:9402,G:HGNC:392,1,['GTG'],0.751
44,G:HGNC:9304,G:HGNC:9300,1,"['GTG', 'GMDMG']",0.989
45,G:HGNC:17726,G:HGNC:18126,1,['GTG'],0.936
46,G:HGNC:8956,G:HGNC:33882,1,"['GTG', 'GMG']",0.999
47,G:HGNC:4236,G:HGNC:30249,1,"['GTG', 'GMG']",0.997
48,G:HGNC:6863,G:HGNC:1985,1,['GPdPG'],0.963
49,G:HGNC:14269,G:HGNC:23317,1,['GTG'],0.975
50,G:HGNC:9038,G:HGNC:13414,1,['GTG'],0.988
51,G:HGNC:437,G:HGNC:438,1,['GTG'],0.974
52,G:HGNC:9381,G:HGNC:9402,1,['GPdPG'],0.895
53,G:HGNC:20785,G:HGNC:9317,1,['GTG'],0.58
54,G:HGNC:18133,G:HGNC:11842,1,['GPdPG'],0.963
55,G:HGNC:4627,G:HGNC:4632,1,['GTG'],0.931
56,G:HGNC:17927,G:HGNC:20944,1,['GTG'],0.979
57,G:HGNC:4125,G:HGNC:4126,1,"['GTG', 'GMDpDMG']",1.0
58,G:HGNC:3763,G:HGNC:3393,1,"['GTG', 'GMDMG']",0.938
59,G:HGNC:813,G:HGNC:812,1,['GTG'],0.982
60,G:HGNC:3391,G:HGNC:3763,1,['GTG'],0.966
61,G:HGNC:9302,G:HGNC:28110,1,['GTG'],0.784
62,G:HGNC:7462,G:HGNC:7456,1,"['GDpDG', 'GDpDpDG']",0.998
63,G:HGNC:10481,G:HGNC:12434,1,"['GTG', 'GMDpDMG']",0.991
64,G:HGNC:9381,G:HGNC:392,1,"['GTG', 'GMDpDMG']",0.965
65,G:HGNC:9870,G:HGNC:21406,1,"['GDpDpDG', 'GTG', 'GMDMG', 'GMDpDMG']",0.997
66,G:HGNC:10251,G:HGNC:13480,1,"['GTG', 'GMDMG', 'GMDpDMG']",0.952
67,G:HGNC:4125,G:HGNC:23233,1,['GTG'],0.954
68,G:HGNC:9288,G:HGNC:9275,1,"['GTG', 'GMDMG', 'GMDpDMG']",0.715
69,G:HGNC:1863,G:HGNC:26459,1,['GTG'],0.972
70,G:HGNC:13480,G:HGNC:392,1,['GTG'],0.732
71,G:HGNC:851,G:HGNC:854,1,"['GDpDpDG', 'GTG', 'GMDMG', 'GMDpDMG']",1.0
72,G:HGNC:4637,G:HGNC:4634,1,['GTG'],0.958
73,G:HGNC:8957,G:HGNC:3046,1,"['GTG', 'GMDMG']",1.0
74,G:HGNC:9402,G:HGNC:1985,1,['GPdPG'],0.932
75,G:HGNC:391,G:HGNC:9395,1,"['GTG', 'GMDpDMG']",0.954
76,G:HGNC:9031,G:HGNC:17825,1,['GTG'],0.963
77,G:HGNC:2730,G:HGNC:2444,1,"['GTG', 'GMDMG']",0.942
78,G:HGNC:13538,G:HGNC:392,1,['GTG'],0.623
79,G:HGNC:7849,G:HGNC:7851,1,['GTG'],0.957
80,G:HGNC:13538,G:HGNC:6849,1,['GPdPG'],0.963
81,G:HGNC:9416,G:HGNC:2933,1,"['GTG', 'GMDpDMG']",0.984
82,G:HGNC:6524,G:HGNC:3393,1,['GTG'],0.816
83,G:HGNC:9253,G:HGNC:9256,1,"['GTG', 'GMDpDMG']",0.994
84,G:HGNC:25090,G:HGNC:28569,1,,0.0
85,G:HGNC:7715,G:HGNC:7716,1,"['GDpDpDG', 'GTG']",0.996
86,G:HGNC:18485,G:HGNC:16352,1,['GTG'],0.975
87,G:HGNC:13480,G:HGNC:11842,1,['GPdPG'],0.963
88,G:HGNC:6560,G:HGNC:7038,1,['GTG'],0.986
89,G:HGNC:7015,G:HGNC:7020,1,['GTG'],0.997
90,G:HGNC:9299,G:HGNC:28110,1,"['GTG', 'GMDMG']",0.81
91,G:HGNC:18133,G:HGNC:16254,1,['GPdPG'],0.963
92,G:HGNC:9157,G:HGNC:9155,1,"['GTG', 'GMG']",0.995
93,G:HGNC:33437,G:HGNC:16906,1,"['GTG', 'GMDpDMG']",0.992
94,G:HGNC:9278,G:HGNC:9316,1,['GTG'],0.897
95,G:HGNC:4632,G:HGNC:4635,1,['GTG'],0.995
96,G:HGNC:28110,G:HGNC:9305,1,"['GTG', 'GMG']",0.946
97,G:HGNC:2529,G:HGNC:2530,1,['GTG'],0.947
98,G:HGNC:2279,G:HGNC:2285,1,['GTG'],0.944
99,G:HGNC:21531,G:HGNC:4130,1,['GTG'],0.991
100,G:HGNC:2730,G:HGNC:2731,1,['GTG'],0.998
101,G:HGNC:9286,G:HGNC:9304,1,['GTG'],0.559
102,G:HGNC:20944,G:HGNC:28407,1,"['GTG', 'GMDMG']",0.992
103,G:HGNC:19318,G:HGNC:19317,1,"['GTG', 'GMDMG']",1.0
104,G:HGNC:4123,G:HGNC:23242,1,['GTG'],0.959
105,G:HGNC:25891,G:HGNC:29834,1,"['GTG', 'GMG', 'GMDpDMG']",0.937
106,G:HGNC:9038,G:HGNC:9039,1,['GTG'],0.896
107,G:HGNC:3512,G:HGNC:3513,1,['GTG'],0.998
108,G:HGNC:6076,G:HGNC:33882,1,"['GTG', 'GMG']",0.997
109,G:HGNC:19662,G:HGNC:4642,1,['GTG'],0.982
110,G:HGNC:22140,G:HGNC:9407,1,"['GDpDpDG', 'GTG']",0.98
111,G:HGNC:9081,G:HGNC:9082,1,"['GDpDpDG', 'GTG']",0.999
112,G:HGNC:1133,G:HGNC:3955,1,"['GTG', 'GMDpDMG']",0.992
113,G:HGNC:391,G:HGNC:9441,1,"['GTG', 'GMG', 'GMDpDMG']",0.698
114,G:HGNC:9416,G:HGNC:1985,1,['GPdPG'],0.963
115,G:HGNC:9278,G:HGNC:9304,1,['GTG'],0.873
116,G:HGNC:2595,G:HGNC:2596,1,['GTG'],0.987
117,G:HGNC:30488,G:HGNC:4126,1,"['GTG', 'GMDMG']",0.998
118,G:HGNC:9278,G:HGNC:28110,1,"['GTG', 'GMDMG']",0.985
119,G:HGNC:2269,G:HGNC:2267,1,['GTG'],0.992
120,G:HGNC:362,G:HGNC:26526,1,['GTG'],0.939
121,G:HGNC:16381,G:HGNC:9300,1,"['GTG', 'GMDMG']",0.979
122,G:HGNC:16381,G:HGNC:9288,1,['GMDpDMG'],0.605
123,G:HGNC:9278,G:HGNC:9275,1,"['GTG', 'GMDMG']",0.98
124,G:HGNC:7455,G:HGNC:7458,1,"['GDpDpDG', 'GTG']",0.999
125,G:HGNC:29569,G:HGNC:37216,1,"['GDpDG', 'GTG']",0.997
126,G:HGNC:817,G:HGNC:814,1,"['GTG', 'GMDMG']",1.0
127,G:HGNC:6190,G:HGNC:3387,1,['GPdPG'],0.805
128,G:HGNC:12585,G:HGNC:12586,1,['GTG'],0.984
129,G:HGNC:4635,G:HGNC:7064,1,['GPdPG'],0.917
130,G:HGNC:9157,G:HGNC:18590,1,['GTG'],0.493
131,G:HGNC:8592,G:HGNC:11842,1,['GPdPG'],0.963
132,G:HGNC:13552,G:HGNC:13535,1,"['GTG', 'GMDpDMG']",1.0
133,G:HGNC:24948,G:HGNC:14129,1,['GTG'],0.832
134,G:HGNC:391,G:HGNC:22140,1,"['GDpDpDG', 'GMDpDMG']",0.87
135,G:HGNC:12587,G:HGNC:12590,1,['GTG'],0.981
136,G:HGNC:7455,G:HGNC:7460,1,"['GDpDG', 'GTG']",0.972
137,G:HGNC:391,G:HGNC:8590,1,"['GTG', 'GMDpDMG']",0.975
138,G:HGNC:811,G:HGNC:13211,1,['GTG'],0.981
139,G:HGNC:9318,G:HGNC:25415,1,['GTG'],0.807
140,G:HGNC:2730,G:HGNC:6193,1,['GMG'],0.842
141,G:HGNC:9316,G:HGNC:9300,1,['GTG'],0.867
142,G:HGNC:9299,G:HGNC:18583,1,"['GTG', 'GMDMG']",0.938
143,G:HGNC:16381,G:HGNC:9281,1,['GTG'],0.721
144,G:HGNC:18367,G:HGNC:20449,1,['GTG'],0.99
145,G:HGNC:9278,G:HGNC:9299,1,['GTG'],0.886
146,G:HGNC:19342,G:HGNC:17827,1,['GTG'],0.988
147,G:HGNC:9278,G:HGNC:9287,1,['GTG'],0.729
148,G:HGNC:9316,G:HGNC:25415,1,['GTG'],0.927
149,G:HGNC:2296,G:HGNC:2298,1,['GTG'],0.972
150,G:HGNC:16637,G:HGNC:19978,1,['GMDMG'],0.782
151,G:HGNC:2678,G:HGNC:25538,1,"['GDpDG', 'GTG', 'GMDMG']",0.999
152,G:HGNC:28526,G:HGNC:8127,1,"['GMDMG', 'GMDpDMG']",0.963
153,G:HGNC:391,G:HGNC:9407,1,"['GDpDpDG', 'GTG']",0.99
154,G:HGNC:9381,G:HGNC:9395,1,"['GTG', 'GMDMG']",0.999
155,G:HGNC:251,G:HGNC:252,1,['GTG'],0.977
156,G:HGNC:12729,G:HGNC:12730,1,['GTG'],0.905
157,G:HGNC:1461,G:HGNC:1463,1,['GTG'],0.998
158,G:HGNC:3655,G:HGNC:6524,1,['GTG'],0.783
159,G:HGNC:4123,G:HGNC:19877,1,['GTG'],0.956
160,G:HGNC:9306,G:HGNC:9303,1,['GTG'],0.974
161,G:HGNC:9381,G:HGNC:13480,1,['GPdPG'],0.947
162,G:HGNC:19086,G:HGNC:14068,1,['GTG'],0.976
163,G:HGNC:9157,G:HGNC:23492,1,['GMG'],0.984
164,G:HGNC:5209,G:HGNC:16637,1,['GTG'],0.353
165,G:HGNC:23242,G:HGNC:21531,1,['GTG'],0.983
166,G:HGNC:9304,G:HGNC:9291,1,,0.0
167,G:HGNC:18133,G:HGNC:9403,1,['GTG'],0.808
168,G:HGNC:4125,G:HGNC:19873,1,"['GTG', 'GMDMG']",0.999
169,G:HGNC:3655,G:HGNC:3955,1,"['GTG', 'GMDMG']",0.995
170,G:HGNC:18133,G:HGNC:9412,1,['GTG'],0.563
171,G:HGNC:20785,G:HGNC:9322,1,['GTG'],0.452
172,G:HGNC:9276,G:HGNC:9299,1,['GTG'],0.899
173,G:HGNC:393,G:HGNC:13480,1,"['GTG', 'GMDMG']",0.956
174,G:HGNC:324,G:HGNC:20886,1,['GTG'],0.975
175,G:HGNC:16890,G:HGNC:9287,1,['GTG'],0.574
176,G:HGNC:18485,G:HGNC:26933,1,"['GTG', 'GMDMG']",0.893
177,G:HGNC:799,G:HGNC:801,1,"['GDpDpDG', 'GTG']",0.997
178,G:HGNC:9288,G:HGNC:9300,1,['GTG'],0.504
179,G:HGNC:1461,G:HGNC:1470,1,['GPdPG'],0.946
180,G:HGNC:9304,G:HGNC:30695,1,"['GTG', 'GMDMG', 'GMDpDMG']",0.991
181,G:HGNC:1133,G:HGNC:3655,1,"['GTG', 'GMDMG']",0.982
182,G:HGNC:29103,G:HGNC:814,1,['GTG'],0.926
183,G:HGNC:19342,G:HGNC:23317,1,['GTG'],0.893
184,G:HGNC:9288,G:HGNC:30695,1,"['GMDMG', 'GMDpDMG']",0.974
185,G:HGNC:9031,G:HGNC:13414,1,['GTG'],0.987
186,G:HGNC:8777,G:HGNC:8779,1,['GTG'],0.899
187,G:HGNC:9204,G:HGNC:9206,1,['GTG'],0.997
188,G:HGNC:17038,G:HGNC:15868,1,"['GTG', 'GMDMG']",0.999
189,G:HGNC:9407,G:HGNC:11408,1,"['GTG', 'GMG']",0.942
190,G:HGNC:6863,G:HGNC:11842,1,['GPdPG'],0.963
191,G:HGNC:9314,G:HGNC:9287,1,['GTG'],0.712
192,G:HGNC:9302,G:HGNC:9307,1,['GTG'],0.872
193,G:HGNC:4127,G:HGNC:19877,1,"['GTG', 'GMG']",0.993
194,G:HGNC:8590,G:HGNC:18133,1,['GPdPG'],0.963
195,G:HGNC:17,G:HGNC:9155,1,['GTG'],0.864
196,G:HGNC:393,G:HGNC:6874,1,['GTG'],0.928
197,G:HGNC:11408,G:HGNC:6874,1,['GTG'],0.898
198,G:HGNC:4820,G:HGNC:4819,1,"['GTG', 'GMG']",0.997
199,G:HGNC:255,G:HGNC:250,1,['GTG'],0.986
200,G:HGNC:11006,G:HGNC:4375,0,['GTG'],0.63
201,G:HGNC:1723,G:HGNC:31631,0,,0.0
202,G:HGNC:30513,G:HGNC:18043,0,"['GMDMG', 'GMDpDMG']",0.803
203,G:HGNC:21205,G:HGNC:12420,0,"['GDpDpDG', 'GTG']",0.793
204,G:HGNC:18003,G:HGNC:6641,0,['GTG'],0.917
205,G:HGNC:16178,G:HGNC:21365,0,"['GMDMG', 'GMDpDMG']",0.36
206,G:HGNC:11914,G:HGNC:27281,0,,0.0
207,G:HGNC:10493,G:HGNC:9467,0,,0.0
208,G:HGNC:13095,G:HGNC:30747,0,['GTG'],0.438
209,G:HGNC:23642,G:HGNC:28461,0,,0.0
210,G:HGNC:26887,G:HGNC:26784,0,['GDpDpDG'],0.624
211,G:HGNC:25143,G:HGNC:6152,0,['GTG'],0.236
212,G:HGNC:5654,G:HGNC:28210,0,,0.0
213,G:HGNC:2257,G:HGNC:368,0,,0.0
214,G:HGNC:12210,G:HGNC:22948,0,,0.0
215,G:HGNC:10576,G:HGNC:25527,0,['GMG'],0.973
216,G:HGNC:18731,G:HGNC:9878,0,['GTG'],0.41
217,G:HGNC:6362,G:HGNC:14998,0,,0.0
218,G:HGNC:29446,G:HGNC:6263,0,,0.0
219,G:HGNC:33258,G:HGNC:29889,0,['GMDpDMG'],0.912
220,G:HGNC:1717,G:HGNC:11388,0,['GTG'],0.603
221,G:HGNC:33717,G:HGNC:15804,0,['GTG'],0.323
222,G:HGNC:26101,G:HGNC:27283,0,,0.0
223,G:HGNC:20951,G:HGNC:12984,0,['GTG'],0.884
224,G:HGNC:5985,G:HGNC:30664,0,['GMDpDMG'],0.97
225,G:HGNC:24911,G:HGNC:10773,0,"['GTG', 'GMDpDMG']",0.885
226,G:HGNC:20485,G:HGNC:13422,0,,0.0
227,G:HGNC:9235,G:HGNC:701,0,['GTG'],0.68
228,G:HGNC:29675,G:HGNC:29502,0,['GMG'],0.782
229,G:HGNC:2770,G:HGNC:28082,0,,0.0
230,G:HGNC:32397,G:HGNC:10955,0,,0.0
231,G:HGNC:23817,G:HGNC:29520,0,['GTG'],0.868
232,G:HGNC:26820,G:HGNC:10186,0,,0.0
233,G:HGNC:12278,G:HGNC:11652,0,,0.0
234,G:HGNC:33872,G:HGNC:3951,0,,0.0
235,G:HGNC:5003,G:HGNC:4798,0,,0.0
236,G:HGNC:14267,G:HGNC:27351,0,,0.0
237,G:HGNC:53523,G:HGNC:5407,0,,0.0
238,G:HGNC:16157,G:HGNC:16798,0,['GMDMG'],0.67
239,G:HGNC:33864,G:HGNC:30782,0,['GTG'],0.486
240,G:HGNC:17187,G:HGNC:32613,0,,0.0
241,G:HGNC:9826,G:HGNC:4224,0,,0.0
242,G:HGNC:14534,G:HGNC:12479,0,,0.0
243,G:HGNC:24788,G:HGNC:14045,0,,0.0
244,G:HGNC:18039,G:HGNC:1734,0,"['GTG', 'GMDMG']",0.626
245,G:HGNC:15714,G:HGNC:7380,0,['GTG'],0.378
246,G:HGNC:38606,G:HGNC:28305,0,,0.0
247,G:HGNC:29094,G:HGNC:11030,0,['GMDpDMG'],0.5
248,G:HGNC:28497,G:HGNC:29464,0,,0.0
249,G:HGNC:18358,G:HGNC:8473,0,['GTG'],0.833
250,G:HGNC:29548,G:HGNC:15024,0,,0.0
251,G:HGNC:13823,G:HGNC:26104,0,,0.0
252,G:HGNC:32638,G:HGNC:52190,0,['GTG'],0.989
253,G:HGNC:34352,G:HGNC:33660,0,,0.0
254,G:HGNC:10064,G:HGNC:18037,0,['GTG'],0.468
255,G:HGNC:32712,G:HGNC:33888,0,,0.0
256,G:HGNC:30776,G:HGNC:30287,0,['GTG'],0.214
257,G:HGNC:23571,G:HGNC:23589,0,,0.0
258,G:HGNC:23252,G:HGNC:2953,0,,0.0
259,G:HGNC:1161,G:HGNC:32818,0,,0.0
260,G:HGNC:4500,G:HGNC:1984,0,,0.0
261,G:HGNC:31894,G:HGNC:29075,0,['GTG'],0.973
262,G:HGNC:6416,G:HGNC:12032,0,['GTG'],0.277
263,G:HGNC:27501,G:HGNC:28130,0,"['GTG', 'GMDMG']",0.642
264,G:HGNC:543,G:HGNC:8752,0,"['GTG', 'GMDMG', 'GMDpDMG']",0.906
265,G:HGNC:10027,G:HGNC:10956,0,,0.0
266,G:HGNC:16397,G:HGNC:10727,0,['GMDMG'],0.944
267,G:HGNC:27320,G:HGNC:32877,0,,0.0
268,G:HGNC:7158,G:HGNC:17995,0,,0.0
269,G:HGNC:15572,G:HGNC:17721,0,['GTG'],0.847
270,G:HGNC:25820,G:HGNC:26790,0,['GMDpDMG'],0.904
271,G:HGNC:8318,G:HGNC:27442,0,,0.0
272,G:HGNC:32960,G:HGNC:13404,0,,0.0
273,G:HGNC:25049,G:HGNC:77,0,['GTG'],0.424
274,G:HGNC:18332,G:HGNC:27407,0,,0.0
275,G:HGNC:9491,G:HGNC:31771,0,,0.0
276,G:HGNC:27030,G:HGNC:11447,0,['GMDpDMG'],0.957
277,G:HGNC:44164,G:HGNC:24967,0,['GTG'],0.646
278,G:HGNC:33056,G:HGNC:6767,0,,0.0
279,G:HGNC:25557,G:HGNC:32484,0,['GTG'],0.537
280,G:HGNC:23315,G:HGNC:25440,0,,0.0
281,G:HGNC:9184,G:HGNC:9801,0,['GMG'],0.193
282,G:HGNC:6563,G:HGNC:20341,0,,0.0
283,G:HGNC:16239,G:HGNC:32908,0,,0.0
284,G:HGNC:24252,G:HGNC:27892,0,['GMG'],0.909
285,G:HGNC:28683,G:HGNC:14847,0,,0.0
286,G:HGNC:12781,G:HGNC:20767,0,"['GMG', 'GMDMG']",0.328
287,G:HGNC:19441,G:HGNC:2093,0,['GTG'],0.322
288,G:HGNC:26114,G:HGNC:4831,0,['GTG'],0.576
289,G:HGNC:30941,G:HGNC:1620,0,"['GTG', 'GMG']",0.749
290,G:HGNC:24138,G:HGNC:10186,0,,0.0
291,G:HGNC:16846,G:HGNC:44356,0,,0.0
292,G:HGNC:2645,G:HGNC:19835,0,,0.0
293,G:HGNC:28109,G:HGNC:6770,0,['GTG'],0.169
294,G:HGNC:25517,G:HGNC:9240,0,['GTG'],0.362
295,G:HGNC:26136,G:HGNC:26237,0,,0.0
296,G:HGNC:26922,G:HGNC:9777,0,['GTG'],0.143
297,G:HGNC:29587,G:HGNC:18420,0,['GTG'],0.67
298,G:HGNC:20569,G:HGNC:5733,0,,0.0
299,G:HGNC:31822,G:HGNC:28996,0,['GMDMG'],0.541
300,G:HGNC:3954,G:HGNC:26649,0,,0.0
301,G:HGNC:4392,G:HGNC:13158,0,['GTG'],0.53
302,G:HGNC:13671,G:HGNC:14418,0,['GMDpDMG'],0.309
303,G:HGNC:5879,G:HGNC:23921,0,,0.0
304,G:HGNC:31706,G:HGNC:4161,0,,0.0
305,G:HGNC:30290,G:HGNC:29120,0,"['GTG', 'GMG']",0.928
306,G:HGNC:24285,G:HGNC:29915,0,,0.0
307,G:HGNC:11612,G:HGNC:491,0,,0.0
308,G:HGNC:14295,G:HGNC:3696,0,['GMG'],0.866
309,G:HGNC:13172,G:HGNC:22048,0,['GTG'],0.729
310,G:HGNC:10882,G:HGNC:21533,0,['GMDpDMG'],0.469
311,G:HGNC:5797,G:HGNC:28381,0,,0.0
312,G:HGNC:30951,G:HGNC:18458,0,['GMDpDMG'],0.991
313,G:HGNC:37128,G:HGNC:12017,0,,0.0
314,G:HGNC:8667,G:HGNC:21624,0,,0.0
315,G:HGNC:13339,G:HGNC:18104,0,,0.0
316,G:HGNC:21704,G:HGNC:38847,0,,0.0
317,G:HGNC:24161,G:HGNC:31136,0,,0.0
318,G:HGNC:28592,G:HGNC:13887,0,['GMDMG'],0.244
319,G:HGNC:11639,G:HGNC:38992,0,,0.0
320,G:HGNC:3776,G:HGNC:16858,0,['GMDMG'],0.299
321,G:HGNC:28898,G:HGNC:8148,0,"['GMDMG', 'GMDpDMG']",0.516
322,G:HGNC:19983,G:HGNC:34375,0,,0.0
323,G:HGNC:2742,G:HGNC:19682,0,"['GTG', 'GMDpDMG']",0.944
324,G:HGNC:464,G:HGNC:9952,0,['GTG'],0.551
325,G:HGNC:29183,G:HGNC:29442,0,['GMDMG'],0.94
326,G:HGNC:12953,G:HGNC:3587,0,['GTG'],0.714
327,G:HGNC:28734,G:HGNC:14244,0,"['GTG', 'GMG', 'GMDMG']",0.918
328,G:HGNC:28943,G:HGNC:23427,0,,0.0
329,G:HGNC:6218,G:HGNC:12478,0,['GTG'],0.183
330,G:HGNC:25514,G:HGNC:14210,0,['GMDMG'],0.791
331,G:HGNC:25110,G:HGNC:15646,0,['GTG'],0.648
332,G:HGNC:16721,G:HGNC:17147,0,['GTG'],0.634
333,G:HGNC:29305,G:HGNC:9866,0,"['GTG', 'GMDMG', 'GMDpDMG']",0.867
334,G:HGNC:24880,G:HGNC:29607,0,['GTG'],0.283
335,G:HGNC:18698,G:HGNC:16501,0,['GTG'],0.571
336,G:HGNC:23590,G:HGNC:29384,0,,0.0
337,G:HGNC:32128,G:HGNC:1486,0,['GTG'],0.8
338,G:HGNC:30350,G:HGNC:12109,0,,0.0
339,G:HGNC:5424,G:HGNC:30087,0,['GMG'],0.717
340,G:HGNC:8009,G:HGNC:28977,0,,0.0
341,G:HGNC:21649,G:HGNC:25105,0,,0.0
342,G:HGNC:6925,G:HGNC:6128,0,['GTG'],0.674
343,G:HGNC:11697,G:HGNC:8982,0,['GMDpDMG'],0.848
344,G:HGNC:32284,G:HGNC:36075,0,,0.0
345,G:HGNC:25599,G:HGNC:20709,0,['GTG'],0.529
346,G:HGNC:24703,G:HGNC:16861,0,"['GTG', 'GMG']",0.936
347,G:HGNC:26737,G:HGNC:4762,0,,0.0
348,G:HGNC:17938,G:HGNC:48324,0,,0.0
349,G:HGNC:8136,G:HGNC:23706,0,['GTG'],0.758
350,G:HGNC:1487,G:HGNC:15680,0,['GTG'],0.588
351,G:HGNC:16682,G:HGNC:21785,0,['GTG'],0.546
352,G:HGNC:17157,G:HGNC:31640,0,,0.0
353,G:HGNC:25557,G:HGNC:2697,0,['GTG'],0.41
354,G:HGNC:5744,G:HGNC:8600,0,['GTG'],0.728
355,G:HGNC:20589,G:HGNC:19871,0,,0.0
356,G:HGNC:28916,G:HGNC:866,0,['GTG'],0.273
357,G:HGNC:14133,G:HGNC:14562,0,['GTG'],0.5
358,G:HGNC:29070,G:HGNC:10240,0,,0.0
359,G:HGNC:28439,G:HGNC:20407,0,['GTG'],0.533
360,G:HGNC:7190,G:HGNC:30207,0,"['GTG', 'GMDMG']",0.88
361,G:HGNC:24513,G:HGNC:19846,0,['GTG'],0.873
362,G:HGNC:24201,G:HGNC:11557,0,['GTG'],0.639
363,G:HGNC:30372,G:HGNC:307,0,,0.0
364,G:HGNC:28145,G:HGNC:935,0,"['GMG', 'GMDMG']",0.894
365,G:HGNC:5033,G:HGNC:14193,0,['GTG'],0.678
366,G:HGNC:3493,G:HGNC:1100,0,['GMG'],0.608
367,G:HGNC:50713,G:HGNC:18351,0,,0.0
368,G:HGNC:13179,G:HGNC:16267,0,['GMDMG'],0.324
369,G:HGNC:2380,G:HGNC:18417,0,['GMG'],0.848
370,G:HGNC:27056,G:HGNC:21143,0,['GTG'],0.575
371,G:HGNC:32205,G:HGNC:2663,0,['GMG'],0.981
372,G:HGNC:32574,G:HGNC:21218,0,['GMDMG'],0.242
373,G:HGNC:18012,G:HGNC:1767,0,,0.0
374,G:HGNC:13635,G:HGNC:33044,0,,0.0
375,G:HGNC:2015,G:HGNC:29207,0,,0.0
376,G:HGNC:5897,G:HGNC:19235,0,,0.0
377,G:HGNC:38,G:HGNC:37283,0,['GTG'],0.728
378,G:HGNC:6169,G:HGNC:10997,0,,0.0
379,G:HGNC:30846,G:HGNC:18106,0,,0.0
380,G:HGNC:4427,G:HGNC:26523,0,,0.0
381,G:HGNC:26388,G:HGNC:15624,0,,0.0
382,G:HGNC:18364,G:HGNC:24301,0,,0.0
383,G:HGNC:38831,G:HGNC:9719,0,['GTG'],0.554
384,G:HGNC:28209,G:HGNC:11119,0,['GDpDpDG'],0.355
385,G:HGNC:8985,G:HGNC:14449,0,,0.0
386,G:HGNC:30491,G:HGNC:2538,0,['GMDMG'],0.243
387,G:HGNC:23298,G:HGNC:15965,0,['GTG'],0.536
388,G:HGNC:29024,G:HGNC:6812,0,['GTG'],0.929
389,G:HGNC:26181,G:HGNC:25826,0,['GMG'],0.527
390,G:HGNC:11094,G:HGNC:19098,0,['GTG'],0.348
